Title,Rating,Description,Genre,Directors,Stars,Release Year
The Last of Us,8.8,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.","Action, Adventure, Drama",[],[],2023
John Wick Chapter 4,7.9,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","Action, Crime, Thriller",[],[],2023
 The Last of Us,8.0,"When an unknown person approaches his compound, survivalist Bill forges an unlikely connection. Later, Joel and Ellie seek Bill's guidance.","Action, Adventure, Drama",[],[],2023
Ant Man and the Wasp Quantumania,6.1,"Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?","Action, Adventure, Comedy",[],[],2023
Guardians of the Galaxy Vol 3,8.2,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.","Action, Adventure, Comedy",[],[],2023
Spider Man Across the Spider Verse,8.9,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","Animation, Action, Adventure",[],[],2023
The Super Mario Bros Movie,7.1,"A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess.","Animation, Adventure, Comedy",[],[],2023
Pathaan,5.9,"An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.","Action, Adventure, Thriller",[],[],2023
Dungeons Dragons Honor Among Thieves,7.3,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.","Action, Adventure, Comedy",[],[],2023
Air,7.5,"Follows the history of sports marketing executive Sonny Vaccaro, and how he led Nike in its pursuit of the greatest athlete in the history of basketball, Michael Jordan.","Drama, Sport",[],[],2023
 The Last of Us,9.1,"Twenty years after a fungal outbreak ravages the planet, survivors Joel and Tess are tasked with a mission that could change everything.","Action, Adventure, Drama",[],[],2023
 The Last of Us,9.1,"After escaping the QZ, Joel and Tess clash over Ellie's fate while navigating the ruins of a long-abandoned Boston.","Action, Adventure, Drama",[],[],2023
Adipurush,4.5,Adaptation of Indian mythology that depicts the triumph of good over evil.,"Action, Adventure, Drama",[],[],2023
Shazam Fury of the Gods,6.0,"The film continues the story of teenage Billy Batson who, upon reciting the magic word ""SHAZAM!"" is transformed into his adult Super Hero alter ego, Shazam.","Action, Adventure, Comedy",[],[],2023
Beef,8.1,Two people let a road rage incident burrow into their minds and slowly consume their every thought and action.,"Comedy, Drama",[],[],2023
The Little Mermaid,7.2,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.,"Adventure, Family, Fantasy",[],[],2023
